label,value
FinanceLeaseRightOfUseAssetBeforeAccumulatedAmortization,"9,569,000,000"
ContractualObligationDueInNextTwelveMonths,"26,335,000,000"
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,"1,000,000,000"
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,"1,500,000,000"
FinanceLeaseLiability,"709,000,000"
LesseeOperatingLeaseLiabilityPaymentsDue,"25,729,000,000"
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,"34,790,000,000"
OperatingLeaseLiability,"20,234,000,000"
ContractualObligationDueInFourthYear,"227,000,000"
OperatingLeaseLiabilityCurrent,"3,565,000,000"
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAccumulatedDepreciationAndAmortization,"76,451,000,000"
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,"5,495,000,000"
DeferredTaxAssetsTaxCreditCarryforwards,"4,799,000,000"
OtherLiabilitiesNoncurrent,"4,086,000,000"
IndefiniteLivedIntangibleAssetsExcludingGoodwill,"425,000,000"
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,"34,120,000,000"
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,"35,000,000"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"82,210,000,000"
ContractualObligation,"65,644,000,000"
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,"10,110,000,000"
FinanceLeaseLiabilityPaymentsDueAfterYearFive,"528,000,000"
FinanceLeaseLiabilityNoncurrent,"633,000,000"
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,"125,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,"2,625,000,000"
ContractualObligationDueInThirdYear,"812,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,"2,657,000,000"
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,"205,000,000"
FinanceLeaseLiabilityCurrent,"76,000,000"
ContractualObligationDueAfterFifthYear,"2,749,000,000"
CommitmentsAndContingencies,
ContractWithCustomerLiabilityCurrent,"721,000,000"
LongTermDebtFairValue,"46,310,000,000"
