label,value
SubsidiaryOrEquityMethodInvesteeCumulativeNumberOfSharesIssuedForAllTransactions,"100,000"
RepaymentsOfDebt,"750,000,000"
PaymentsToAcquireEquityMethodInvestments,"53,802,000"
MarketableSecuritiesUnrealizedGainLoss,"72,800,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardPercentageOfOutstandingStockMaximum,0
StockIssuedDuringPeriodSharesTreasuryStockReissued,0
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,"10,685,000"
NetCashProvidedByUsedInOperatingActivities,"-127,972,000"
IncreaseDecreaseInAccountsPayable,"46,510,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,"952,900,000"
GrossProfit,"2,442,793,000"
NetIncomeLoss,"-2,266,416,000"
CurrentForeignTaxExpenseBenefit,"15,341,000"
StockRepurchasedDuringPeriodShares,"3,046,000"
IncreaseDecreaseInAccountsReceivable,"167,618,000"
StockIssuedDuringPeriodSharesNewIssues,"207,690,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,8
DepreciationDepletionAndAmortization,"41,023,000"
PaymentsForRepurchaseOfConvertiblePreferredStock,"13,873,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,1
NetIncomeLossAvailableToCommonStockholdersDiluted,"-2,280,380,000"
OtherNonoperatingIncomeExpense,"-74,160,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,"8,868,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,"6,966,000"
OperatingExpenses,"4,603,962,000"
CurrentStateAndLocalTaxExpenseBenefit,"551,000"
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,0
ContractWithCustomerLiabilityRevenueRecognized,"856,100,000"
ResearchAndDevelopmentExpense,"1,253,710,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,8
DefinedContributionPlanEmployerDiscretionaryContributionAmount,0
ProceedsFromStockOptionsExercised,"7,500,000"
IncomeTaxesPaidNet,"26,993,000"
CurrentFederalTaxExpenseBenefit,0
DeferredStateAndLocalIncomeTaxExpenseBenefit,0
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,"50,350,000"
OperatingLeasesRentExpenseNet,"38,500,000"
AdvertisingExpense,"26,300,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,0
