label,value
OperatingLeasePayments,"1,500,000,000"
OperatingLeasesRentExpenseNet,"2,500,000,000"
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,"3,689,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,120
RepaymentsOfShortTermDebtMaturingInMoreThanThreeMonths,"39,487,000,000"
ProceedsFromRepaymentsOfShortTermDebtMaturingInMoreThanThreeMonths,"-4,873,000,000"
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,"6,336,000,000"
ProceedsFromSaleAndMaturityOfOtherInvestments,"2,079,000,000"
OtherComprehensiveIncomeLossDerivativeExcludedComponentIncreaseDecreaseBeforeAdjustmentsAndTax,"-168,000,000"
RepaymentsOfOtherShortTermDebt,"5,200,000,000"
ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,"-2,104,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,101
PaymentsForProceedsFromOtherInvestingActivities,"2,614,000,000"
IncreaseDecreaseInOtherReceivables,"3,526,000,000"
StockRepurchasedAndRetiredDuringPeriodValue,"285,173,000,000"
WeightedAverageNumberDilutedSharesOutstandingAdjustment,"479,335,000"
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,"1,597,000,000"
IncomeTaxesPaidNet,"35,181,000,000"
ComprehensiveIncomeNetOfTax,"171,995,000,000"
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,"37,000,000"
SharesPaidForTaxWithholdingForShareBasedCompensation,"179,000,000"
SellingGeneralAndAdministrativeExpense,"54,866,000,000"
PaymentsForRepurchaseOfCommonStock,"211,993,000,000"
NetCashProvidedByUsedInFinancingActivities,"-265,672,000,000"
PaymentsToAcquireAvailableForSaleSecuritiesDebt,"225,924,000,000"
ProceedsFromRepaymentsOfCommercialPaper,"-6,977,000,000"
InterestExpense,"9,689,000,000"
StockRepurchasedAndRetiredDuringPeriodShares,"5,042,287,000"
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,"647,000,000"
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,"130,400,000,000"
NetCashProvidedByUsedInOperatingActivities,"227,499,000,000"
DefinedContributionPlanMaximumAnnualContributionsPerEmployeeAmount,"19,500"
IncomeTaxExpenseBenefit,"33,533,000,000"
ProceedsFromIssuanceOfCommonStock,"2,330,000,000"
OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,"616,000,000"
WeightedAverageNumberOfSharesOutstandingBasic,"55,644,965,000"
ProceedsFromIssuanceOfLongTermDebt,"30,023,000,000"
Revenues,"571,000,000"
PaymentsToAcquirePropertyPlantAndEquipment,"31,117,000,000"
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,"4,868,000,000"
OperatingLeaseCost,"1,500,000,000"
OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax,"1,264,000,000"
