label,value,statement_confidence,category,category_confidence
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"-3,111,000",0.7904752939499338,comprehensive income,0.4710499113589098
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"-3,111,000",0.7896469084901163,comprehensive income,0.4546213469687602
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,"-4,469,584,000",0.7472576358269774,comprehensive income,0.1165224912605211
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,"-469,307,000",0.7324454403159137,comprehensive income,0.1174912344457871
DilutiveSecurities,"-5,483,000",0.6719609552007529,comprehensive income,0.1241181334624755
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,0,0.6557380068537354,comprehensive income,0.128938294209956
DefinedContributionPlanEmployerDiscretionaryContributionAmount,0,0.6199408246412543,comprehensive income,0.1253401525871448
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,"1,081,000",0.6101888130658214,comprehensive income,0.127925916223922
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,"1,102,353,000",0.6494220958910027,comprehensive income,0.1325572200548586
SubsidiaryOrEquityMethodInvesteeCumulativeNumberOfSharesIssuedForAllTransactions,"100,000",0.6533522461101945,comprehensive income,0.1173563879709963
OperatingLeasePayments,"107,385,000",0.658198701162852,comprehensive income,0.1852737838311737
IncomeTaxReconciliationOtherAdjustments,"12,712,000",0.6447383005538334,comprehensive income,0.1579404814388963
IncomeTaxReconciliationTaxCreditsResearch,"122,991,000",0.687234171011355,comprehensive income,0.1246097627047413
GrossProfit,"2,442,793,000",0.6136027758794179,comprehensive income,0.1207641483695999
InvestmentIncomeInterest,"21,377,000",0.653496934584457,comprehensive income,0.1187380790913557
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,"22,169,000",0.7009123475816286,comprehensive income,0.1338228710810516
IncomeTaxesPaidNet,"26,993,000",0.6669157127794368,comprehensive income,0.1252603236679341
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,"32,724,000",0.6000969196195484,comprehensive income,0.125680326999936
StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,"48,413,000",0.5805016253941063,comprehensive income,0.1256666422794521
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,"5,514,007,000",0.7045449487046285,comprehensive income,0.1164085688828617
IncomeTaxReconciliationStateAndLocalIncomeTaxes,"551,000",0.6994613871088784,comprehensive income,0.13243573860238
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,"69,794,000",0.6364023728938334,comprehensive income,0.1436972171143943
EarningsPerShareBasic,-2,0.7245371580223358,earnings per share,0.1667602286626444
EarningsPerShareDiluted,-2,0.720150030785493,earnings per share,0.1722388098353149
WeightedAverageNumberOfSharesOutstandingBasic,"3,478,298,000",0.7251877915368636,earnings per share,0.1739519636754928
WeightedAverageNumberOfDilutedSharesOutstanding,"3,479,906,000",0.7216990377063851,earnings per share,0.1764213371629381
StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,0,0.5287012266771793,financing activities,0.1424204146034829
StockIssuedDuringPeriodSharesTreasuryStockReissued,0,0.554680924659462,financing activities,0.1347947546027589
StockIssuedDuringPeriodValueStockOptionsExercised,"1,646,362,000",0.5411775152150513,financing activities,0.1496639010148431
StockIssuedDuringPeriodValueNewIssues,"1,893,505,000",0.535542450962074,financing activities,0.1495984597288595
StockIssuedDuringPeriodSharesRestrictedStockAwardNetOfForfeitures,"132,780,000",0.5484724062440958,financing activities,0.126203975708166
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,"2,105,319,000",0.5572418662724529,financing activities,0.1312299954227376
StockIssuedDuringPeriodValueTreasuryStockReissued,"200,000,000",0.5326032149954985,financing activities,0.1517063254323523
StockIssuedDuringPeriodSharesNewIssues,"207,690,000",0.5601006335635309,financing activities,0.1314455575125522
StockRepurchasedDuringPeriodShares,"3,046,000",0.5095135823846518,financing activities,0.1730150842327552
StockIssuedDuringPeriodSharesStockOptionsExercised,"317,490,849",0.5664670549766857,financing activities,0.1322452255889407
TreasuryStockSharesRetired,"7,201,000",0.60995192234504,financing activities,0.1196129639763864
ProceedsFromIssuanceOfCommonStock,"743,782,000",0.5022677876175933,financing activities,0.1908009526453921
RepaymentsOfDebt,"750,000,000",0.5017259859545505,financing activities,0.1943121639908443
NetIncomeLoss,"-2,266,416,000",0.7745065551750374,net income,0.1669207521617526
NetIncomeLossAvailableToCommonStockholdersBasic,"-2,274,897,000",0.7835846666788159,net income,0.2807959412391647
NetIncomeLossAvailableToCommonStockholdersDiluted,"-2,280,380,000",0.7772097676412839,net income,0.2655848534262425
OperatingIncomeLoss,"-2,161,169,000",0.7754542807566716,nonoperating expenses,0.139756141640123
OtherNonoperatingIncomeExpense,"-74,160,000",0.7521004403045564,nonoperating expenses,0.2943957310632032
MarketableSecuritiesUnrealizedGainLoss,"72,800,000",0.6789988423915052,nonoperating income,0.1258835270098224
TreasuryStockSharesAcquired,0,0.5676224199658432,operating activities,0.1160269294610355
SubleaseIncome,"39,726,000",0.6279345569688876,operating activities,0.141294195984989
RevenueFromContractWithCustomerExcludingAssessedTax,"6,754,234,000",0.674781084679153,operating activities,0.1168232198554059
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,"893,000",0.5911810049537574,operating activities,0.1247708133003794
OtherOperatingActivitiesCashFlowStatement,"9,100,000",0.543621016969215,operating activities,0.1404903904250291
