FILE,LABEL,VALUE
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_LiabilitiesCurrent
calculation,label,loc_us-gaap_LiabilitiesCurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Liabilities
calculation,to,loc_us-gaap_LiabilitiesCurrent
calculation,use,optional
calculation,order,12
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AccountsPayableCurrent
calculation,label,loc_us-gaap_AccountsPayableCurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent
calculation,to,loc_us-gaap_AccountsPayableCurrent
calculation,use,optional
calculation,order,13
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AccruedLiabilitiesCurrent
calculation,label,loc_us-gaap_AccruedLiabilitiesCurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent
calculation,to,loc_us-gaap_AccruedLiabilitiesCurrent
calculation,use,optional
calculation,order,14
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_DeferredRevenueCurrent
calculation,label,loc_us-gaap_DeferredRevenueCurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent
calculation,to,loc_us-gaap_DeferredRevenueCurrent
calculation,use,optional
calculation,order,15
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,pltr-20211231.xsd#pltr_CustomerDepositCurrent
calculation,label,loc_PLTR_CustomerDepositCurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent
calculation,to,loc_PLTR_CustomerDepositCurrent
calculation,use,optional
calculation,order,16
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OperatingLeaseLiabilityCurrent
calculation,label,loc_us-gaap_OperatingLeaseLiabilityCurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent
calculation,to,loc_us-gaap_OperatingLeaseLiabilityCurrent
calculation,use,optional
calculation,order,17
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_DeferredRevenueNoncurrent
calculation,label,loc_us-gaap_DeferredRevenueNoncurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Liabilities
calculation,to,loc_us-gaap_DeferredRevenueNoncurrent
calculation,use,optional
calculation,order,18
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,pltr-20211231.xsd#pltr_CustomerDepositNoncurrent
calculation,label,loc_PLTR_CustomerDepositNoncurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Liabilities
calculation,to,loc_PLTR_CustomerDepositNoncurrent
calculation,use,optional
calculation,order,19
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_LongTermDebtNoncurrent
calculation,label,loc_us-gaap_LongTermDebtNoncurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Liabilities
calculation,to,loc_us-gaap_LongTermDebtNoncurrent
calculation,use,optional
