contextRef,entity_identifier,period_start,period_end,instant
i00feeb789c13431197ddf5f7d6ca398d_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
ie6417852f5a541ec831e9509c14961e2_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
i83c8cfe9b8ac46cc8e49174acf112407_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i70b752d8671449cc8887f758f814dd2a_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i1eff4792a4044405acc3e1e574c96839_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
i69c5902f0d4442698d37c1d197667cdc_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
ib932f3fbd1164937b8882297320de846_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i33fceede4fc84533aacd3b9485935d9f_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
iba03df4a0231455d81833e9f1c3ce27a_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
ic6dbc25568fe4a5c80754dee8bc00e5d_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
ibc25b51e947b467989c5dd4dafb2ff89_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
ia09f137fa5ab4a6d8b10d8d4cd6b2e7b_I20200926,0000320193,,,2020-09-26
ic5bf6713c0814789a3699efb646b87e8_I20200926,0000320193,,,2020-09-26
i09177eb7aef242cfbf9e6d2decde2604_I20200926,0000320193,,,2020-09-26
i5aab93ca0c9b41ba9e806876d2f2802d_I20200926,0000320193,,,2020-09-26
i695af46e336345ec9352943e281716fb_I20200926,0000320193,,,2020-09-26
i6e2c6a48cc0840498de9e9041e540d06_I20200926,0000320193,,,2020-09-26
ifc72ee5fe67d4fd0ac42a208c4e616dd_I20200926,0000320193,,,2020-09-26
i921639ecdb8d4b60afd856337478a33d_I20200926,0000320193,,,2020-09-26
i4f43771ec5c64f74936d9e24ecdc490d_I20200926,0000320193,,,2020-09-26
i0ff8e8e4b63b4cbca0fff2d34efc6c55_I20200926,0000320193,,,2020-09-26
i9afb1257b0ae4cfc9fbb03eac0858459_I20200926,0000320193,,,2020-09-26
i464f9b3766be4a6284186f070cabe7c3_I20200926,0000320193,,,2020-09-26
i1be4b9f98d934f6dbb628bde635d5215_I20190928,0000320193,,,2019-09-28
ide0ebfa746ba495abcded24d6064d091_I20190928,0000320193,,,2019-09-28
i14e5866116dd4e79b7fa099ca6888ba8_I20190928,0000320193,,,2019-09-28
ie6c6245efd8747dbb99e48829cf73b1d_I20190928,0000320193,,,2019-09-28
i49458f17f4ca42cca6ee9a1fbdc5243e_I20190928,0000320193,,,2019-09-28
i4ddbcd6cd4244785b3afe4b32e5d63db_I20190928,0000320193,,,2019-09-28
i9b19b1ed8c3c430cb09b9b966d23b4f0_I20190928,0000320193,,,2019-09-28
i4fb9568254c8489995d4c76b0c987524_I20190928,0000320193,,,2019-09-28
i395e5a3b676a4fc38b2617671534b82c_I20190928,0000320193,,,2019-09-28
i51b333c1fd214fd196f2959034ab7e41_I20190928,0000320193,,,2019-09-28
icd5a873700524ed6b4ba633611301ddd_I20190928,0000320193,,,2019-09-28
i5e40b6d78ca1461196de3fff787c68c4_I20190928,0000320193,,,2019-09-28
iefa1bf31f4664cb691f2ce2734ab0317_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i92909a279abe4c49b8f67f4a1008875c_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i046558c0d1fb4b3095dd32d37c26dc9b_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i0eb43aac06cb4492b1c6577166b5de37_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i2125190cd26248d39489886e45830e6a_I20200926,0000320193,,,2020-09-26
i8b832ddb69424a47a4f979b8ad3b7ae1_I20200926,0000320193,,,2020-09-26
i6c27b919f1b9410e868fc7b795c34b11_I20200926,0000320193,,,2020-09-26
i01d5b2f70bf248fa92cd5ebac857d882_I20200926,0000320193,,,2020-09-26
ibc56e4c360fc4ae59545b5231c41538e_I20200926,0000320193,,,2020-09-26
i7b021f41f2e740cf97f981bfd10d3213_I20200926,0000320193,,,2020-09-26
ifc3c2d9b5dd3466cac8863ac8723fb54_I20200926,0000320193,,,2020-09-26
i805c19628b4b4012a0b6dcf3761d2c61_I20200926,0000320193,,,2020-09-26
i59eaf25f94ee4c4286c45af42ba9192f_I20200926,0000320193,,,2020-09-26
i14bfc20eac54488e94ba42f78b0ae286_I20190928,0000320193,,,2019-09-28
i3920258f933644dfaae6544fb106ae77_I20190928,0000320193,,,2019-09-28
id9300b31687741f2b51be232120da68d_I20190928,0000320193,,,2019-09-28
i8e1139bebba5406ebc0b86350d04a4ed_I20190928,0000320193,,,2019-09-28
i3d0d8df3e07b447ca1124666058c9f92_I20190928,0000320193,,,2019-09-28
i43c2aa0e1c81495f806bc42aa20f4485_I20190928,0000320193,,,2019-09-28
i3f9e3c2b01d74014847b2699b04c43ed_I20190928,0000320193,,,2019-09-28
i76bde24480a549c1b71d827d19ea045b_I20190928,0000320193,,,2019-09-28
ie08cae5303b446dbadd4580e2048992f_I20190928,0000320193,,,2019-09-28
i2181b091558546f9bd1a87284ad652fc_I20190928,0000320193,,,2019-09-28
idb31a3af554f4751ab9ea65549d826e4_I20190928,0000320193,,,2019-09-28
i8a9e42e58e13499fb6047fbef247f050_I20190928,0000320193,,,2019-09-28
i9b85365cfd4c4f989b06271356d284a2_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i4d348dd14b3642a7ad64d46769892ba2_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
ic43496db68c9440a9d962f066ea1bb86_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i45d790212f044e70a500b9c7f7a20b57_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i6f4c0eef847244b493a56f4f0db7b816_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
icc45834fcd9244bab6825d95269119a2_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i67b94e79021341928b2ed8a821fed4c6_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
ica0ecb285d5b47c48301f476cffe1baa_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
if5ee0441e61946c7a991f89e702cea2d_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
