contextRef,entity_identifier,period_start,period_end,instant
i6c2662d6d7b84a4587761da5ee4ce846_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
iab31de652ea14ce6a5981f79d4288301_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
ia30002df28794a2495287a1fa71bde15_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
iafeb4f2bceea48469d0b532edc07710b_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i0561d7de223a472b99b259935bd7c234_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
i553fa268e15e489b94df21f659234f57_I20200926,0000320193,,,2020-09-26
icfefffc7c639460aa59070c080139e67_I20190928,0000320193,,,2019-09-28
i4b1da012474740a78a0caefe91407938_I20200926,0000320193,,,2020-09-26
i1f6cba9befe5470da5c2515dcec65879_I20190928,0000320193,,,2019-09-28
ic5b6c6bd1a8e47e497ef49654f44c57e_I20200926,0000320193,,,2020-09-26
id3934541203f4810ac5418ee1e2774d5_I20190928,0000320193,,,2019-09-28
i1105eb81c3ab4a619d327ca70add40d7_I20200926,0000320193,,,2020-09-26
i595121178fbe45269c3514a399e86039_I20200926,0000320193,,,2020-09-26
i351b66cb3e5a44758f934e3f67afca58_D20200628-20200926,0000320193,2020-06-28,2020-09-26,
ifdb3195f064a4bf6ae20a73185eb023f_D20200329-20200627,0000320193,2020-03-29,2020-06-27,
idf3d4893b9274878848e229effec5158_D20191229-20200328,0000320193,2019-12-29,2020-03-28,
i4f82462c623b4ad9b564074811e811be_D20190929-20191228,0000320193,2019-09-29,2019-12-28,
i271d5d670a1c426b844e7e62fbde47c0_D20190630-20190928,0000320193,2019-06-30,2019-09-28,
i36666287bf724ae0a237962f59669ad6_D20190331-20190629,0000320193,2019-03-31,2019-06-29,
i53b173dde7894c05af3b17e9c6b72716_D20181230-20190330,0000320193,2018-12-30,2019-03-30,
i2031edd05f6b47d7ab50b23eb601cdae_D20180930-20181229,0000320193,2018-09-30,2018-12-29,
