label,value,statement,statement_confidence,category,category_confidence
EquitySecuritiesFvNiRealizedGainLoss,"235,000,000",income,0.7797703164463374,nonoperating income,0.30711679497572697
PaymentsToAcquirePropertyPlantAndEquipment,"59,949,000,000",cashflow,0.567168129736046,operating activities,0.22458725915117578
OtherNonoperatingIncomeExpense,"26,000,000",income,0.7521004403045564,nonoperating expenses,0.29439573106320316
GoodwillOtherIncreaseDecrease,"-28,000,000",cashflow,0.6364577905822457,operating activities,0.2814776313302423
EquitySecuritiesFvNiUnrealizedGainLoss,"1,635,000,000",income,0.7722193631018036,nonoperating income,0.2945993887622153
DeferredStateAndLocalIncomeTaxExpenseBenefit,"-1,272,000,000",income,0.7226924306243439,Operating Expenses,0.11956424432324231
StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,"24,000,000",income,0.5365511471343548,financing activities,0.13846937902540568
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,"-3,636,000,000",income,0.8145427304642079,comprehensive income,0.4844543506559224
StockholdersEquityOther,"-189,000,000",income,0.6471041631199166,Operating Expenses,0.10660470888229494
IncreaseDecreaseInOtherNoncurrentAssets,"7,301,000,000",cashflow,0.6258469837491518,operating activities,0.3648898836329077
DefinedContributionPlanCostRecognized,"3,600,000,000",income,0.6563435893278494,Operating Expenses,0.1274091914924327
Depreciation,"32,600,000,000",income,0.6984183559993675,Operating Expenses,0.2470102394418577
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,"2,582,000,000",income,0.6364023728938334,comprehensive income,0.14369721711439426
InvestmentIncomeNet,"6,905,000,000",income,0.6413518922647142,comprehensive income,0.14180019165099797
NonoperatingIncomeExpense,"1,596,000,000",income,0.7621341054811,nonoperating expenses,0.2933321321716177
EffectiveIncomeTaxRateReconciliationFdiiPercent,0,income,0.6994618345915035,comprehensive income,0.13536434187051796
IncomeTaxesPaidNet,"41,900,000,000",income,0.6669157127794366,comprehensive income,0.12526032366793405
OciBeforeReclassificationsNetOfTaxAttributableToParent,"-3,695,000,000",income,0.7440621458057717,comprehensive income,0.19678418483069182
EarningsPerShareBasic,23,income,0.7245371580223356,earnings per share,0.16676022866264417
ProceedsFromIssuanceOfCommonStock,"4,877,000,000",income,0.5022677876175928,financing activities,0.19080095264539212
ForeignCurrencyTransactionGainLossBeforeTax,"-212,000,000",income,0.7463845464940921,nonoperating expenses,0.19397493678755554
InterestExpense,"7,000,000,000",income,0.743136402251471,Operating Expenses,0.1910763312938705
WeightedAverageNumberOfDilutedSharesOutstanding,"22,831,000,000",income,0.721699037706385,earnings per share,0.17642133716293795
ShareBasedCompensation,"18,909,000,000",income,0.7152338597422776,Operating Expenses,0.31542678003507585
FinanceLeasePrincipalPayments,"1,953,000,000",cashflow,0.5292648573025014,financing activities,0.23656431396458874
