label,value,category,prediction_confidence
RetainedEarningsAccumulatedDeficit,"-33,418,000,000",equity,0.2756061956876992
RetainedEarningsAccumulatedDeficit,"60,864,000,000",equity,0.2756061956876992
LiabilitiesNoncurrent,"251,515,000,000",noncurrent liabilities,0.2781486194706235
LiabilitiesNoncurrent,"295,467,000,000",noncurrent liabilities,0.2781486194706235
DeferredTaxAssetsDeferredIncome,"6,366,000,000",noncurrent assets,0.2788843085163872
DeferredTaxAssetsDeferredIncome,"3,010,000,000",noncurrent assets,0.2788843085163872
RestrictedInvestments,"37,500,000,000",noncurrent assets,0.28025292749547526
EquitySecuritiesFvNiCurrentAndNoncurrent,"15,042,000,000",current assets,0.28275962086691614
DerivativeFairValueOfDerivativeLiability,"7,199,000,000",subtotal liabilities,0.283079419878734
AccruedIncomeTaxesNoncurrent,"57,715,000,000",noncurrent liabilities,0.2842675489968575
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,"13,831,000,000",current liabilities,0.28503502745634735
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,"8,652,000,000",current liabilities,0.28503502745634735
UnrecordedUnconditionalPurchaseObligationBalanceOnSecondAnniversary,"3,708,000,000",current liabilities,0.2862045708650613
UnrecordedUnconditionalPurchaseObligationBalanceOnSecondAnniversary,"2,885,000,000",current liabilities,0.2862045708650613
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,"2,700,000,000",noncurrent liabilities,0.2864655636451276
StockholdersEquity,"792,188,000,000",equity,0.2881096999224521
StockholdersEquity,"487,002,000,000",equity,0.2881096999224521
LongTermDebtFairValue,"168,800,000,000",noncurrent liabilities,0.2886147553762193
LongTermDebtFairValue,"224,600,000,000",noncurrent liabilities,0.2886147553762193
UnrecordedUnconditionalPurchaseObligationBalanceOnFourthAnniversary,"357,000,000",current liabilities,0.29021319204753965
UnrecordedUnconditionalPurchaseObligationBalanceOnFourthAnniversary,"1,306,000,000",current liabilities,0.29021319204753965
UnrecordedUnconditionalPurchaseObligationBalanceOnFirstAnniversary,"3,476,000,000",current liabilities,0.2928531118799449
UnrecordedUnconditionalPurchaseObligationBalanceOnFirstAnniversary,"4,752,000,000",current liabilities,0.2928531118799449
UnrecordedUnconditionalPurchaseObligationBalanceOnThirdAnniversary,"1,981,000,000",current liabilities,0.29308059994438884
UnrecordedUnconditionalPurchaseObligationBalanceOnThirdAnniversary,"1,700,000,000",current liabilities,0.29308059994438884
UnrecordedUnconditionalPurchaseObligationBalanceOnFifthAnniversary,"104,000,000",current liabilities,0.2945560819120208
UnrecordedUnconditionalPurchaseObligationBalanceOnFifthAnniversary,"788,000,000",current liabilities,0.2945560819120208
RestrictedCashAndCashEquivalentsNoncurrent,"3,094,000,000",current assets,0.29597385151763855
DeferredTaxAssetsNet,"53,458,000,000",noncurrent assets,0.29819162150036416
DeferredTaxAssetsNet,"37,935,000,000",noncurrent assets,0.29819162150036416
AccountsReceivableNetCurrent,"39,046,000,000",current assets,0.3008977254651016
AccountsReceivableNetCurrent,"73,187,000,000",current assets,0.3008977254651016
OtherLiabilitiesNoncurrent,"87,437,000,000",noncurrent liabilities,0.3015143014457912
OtherLiabilitiesNoncurrent,"104,993,000,000",noncurrent liabilities,0.3015143014457912
OtherAssetsCurrent,"28,872,000,000",current assets,0.30622838760663956
OtherAssetsCurrent,"23,616,000,000",current assets,0.30622838760663956
FinanceLeaseLiabilityUndiscountedExcessAmount,"429,000,000",subtotal liabilities,0.307196216238347
FinanceLeaseLiabilityUndiscountedExcessAmount,"349,000,000",subtotal liabilities,0.307196216238347
OperatingLeaseRightOfUseAsset,"8,570,000,000",noncurrent assets,0.3091558523058436
OperatingLeaseRightOfUseAsset,"21,439,000,000",noncurrent assets,0.3091558523058436
PropertyPlantAndEquipmentGross,"398,966,000,000",noncurrent assets,0.30939599667106654
PropertyPlantAndEquipmentGross,"489,952,000,000",noncurrent assets,0.30939599667106654
PropertyPlantAndEquipmentNet,"95,514,000,000",noncurrent assets,0.31335115883055703
PropertyPlantAndEquipmentNet,"74,144,000,000",noncurrent assets,0.31335115883055703
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible,"3,900,000,000",noncurrent liabilities,0.3153516096919877
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible,"6,000,000,000",noncurrent liabilities,0.3153516096919877
OtherAssetsMiscellaneousNoncurrent,"118,285,000,000",noncurrent assets,0.3160438179157388
FinanceLeaseLiabilityPaymentsDue,"1,579,000,000",current liabilities,0.3162797705371618
FinanceLeaseLiabilityPaymentsDue,"1,090,000,000",current liabilities,0.3162797705371618
FinanceLeaseLiabilityPaymentsDueAfterYearFive,"895,000,000",noncurrent liabilities,0.3172977523741577
FinanceLeaseLiabilityPaymentsDueAfterYearFive,"801,000,000",noncurrent liabilities,0.3172977523741577
LongTermDebtCurrent,"23,262,000,000",current liabilities,0.3177345138386392
LongTermDebtCurrent,"19,033,000,000",current liabilities,0.3177345138386392
AssetsCurrent,"306,532,000,000",current assets,0.3189388544561074
AssetsCurrent,"300,944,000,000",current assets,0.3189388544561074
CashAndCashEquivalentsAtCarryingValue,"136,115,000,000",current assets,0.32625876916631896
CashAndCashEquivalentsAtCarryingValue,"212,535,000,000",current assets,0.32625876916631896
CommonStocksIncludingAdditionalPaidInCapital,"176,844,000,000",equity,0.32825081333944545
CommonStocksIncludingAdditionalPaidInCapital,"95,953,000,000",equity,0.32825081333944545
AvailableForSaleSecuritiesDebtSecurities,"1,145,139,000,000",noncurrent assets,0.32884077874647505
AvailableForSaleSecuritiesDebtSecurities,"452,166,000,000",noncurrent assets,0.32884077874647505
AssetsNoncurrent,"423,277,000,000",noncurrent assets,0.3294612883233342
AssetsNoncurrent,"355,872,000,000",noncurrent assets,0.3294612883233342
CommercialPaper,"35,946,000,000",current liabilities,0.33488846017730256
CommercialPaper,"21,976,000,000",current liabilities,0.33488846017730256
RestrictedCashAndCashEquivalentsAtCarryingValue,"59,000,000",current assets,0.33683475299273935
LesseeOperatingLeaseLiabilityPaymentsDue,"14,725,000,000",noncurrent liabilities,0.3370670748919706
LesseeOperatingLeaseLiabilityPaymentsDue,"10,144,000,000",noncurrent liabilities,0.3370670748919706
EquitySecuritiesFvNiCost,"14,488,000,000",current assets,0.34056036541657453
DeferredIncomeTaxAssetsNet,"40,276,000,000",noncurrent assets,0.34348974289751916
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,"21,400,000,000",noncurrent liabilities,0.34470265964972685
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,"17,400,000,000",noncurrent liabilities,0.34470265964972685
UnrecognizedTaxBenefits,"82,295,000,000",noncurrent liabilities,0.3448043758538658
UnrecognizedTaxBenefits,"126,692,000,000",noncurrent liabilities,0.3448043758538658
