FILE,LABEL,VALUE
calculation,to,loc_us-gaap_ResearchAndDevelopmentExpense_79786d40-afd0-4800-ad59-0d4646d4b1a2
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_SellingGeneralAndAdministrativeExpense_7d05f632-ffc4-4a34-90ed-e7b0c7e45f45
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_SellingGeneralAndAdministrativeExpense
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_OperatingExpenses_4fbc0d37-fd43-45fc-9fef-0e9779092daf
calculation,to,loc_us-gaap_SellingGeneralAndAdministrativeExpense_7d05f632-ffc4-4a34-90ed-e7b0c7e45f45
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OperatingIncomeLoss_476e1bc0-606d-435a-9b3b-dcef4a0f9c75
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_OperatingIncomeLoss
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_GrossProfit_e63cd4bd-3939-4af1-b561-3da95a06dcd3
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_GrossProfit
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_OperatingIncomeLoss_476e1bc0-606d-435a-9b3b-dcef4a0f9c75
calculation,to,loc_us-gaap_GrossProfit_e63cd4bd-3939-4af1-b561-3da95a06dcd3
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OperatingExpenses_3868097a-b972-456a-8339-e5660450ef0c
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_OperatingExpenses
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,-1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
