label,value,statement,category,comments,,,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesTax,"317,000,000",income,comprehensive income,,,,,,
RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability,"1,000,000,000",cashflow,disclosures,,,,,,
IncreaseDecreaseInOtherOperatingAssets,"4,299,000,000",cashflow,operating activities,,,,,,
ProceedsFromDebtNetOfIssuanceCosts,"36,253,000,000",cashflow,financing activities,,,,,,
OtherNoncashIncomeExpense,"-2,226,000,000",cashflow,operating activities,,,,,,
ProceedsFromSaleAndMaturityOfMarketableSecurities,"99,507,000,000",cashflow,investing activities,,,,,,
IncomeTaxExpenseBenefit,"31,240,000,000",income,income tax,,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,"48,997,000,000",income,earnings per share,,,,,,
DebtSecuritiesAvailableForSaleRealizedGain,"824,000,000",income,nonoperating income,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,"-629,000,000",income,comprehensive income,,,,,,
DeferredIncomeTaxesAndTaxCredits,"-4,334,000,000",income,income tax,,,,,,
OperatingIncomeLoss,"173,470,000,000",income,Operating Income,Revenues - CostsAndExpenses = OperatingIncomeLoss or Gross Profit - Operating Expenses = OperatingIncomeLoss,,,,,
PaymentsToAcquireOtherInvestments,"4,511,000,000",cashflow,investing activities,,,,,,
EquitySecuritiesFvNiUnrealizedGainLoss,"1,377,000,000",income,nonoperating income,"expense if its negative, income if positive",,,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,"1,110,000,000",income,comprehensive income,,,,,,
InterestExpenseNonoperating,"784,000,000",income,nonoperating expenses,,,,,,
ProceedsFromMinorityShareholders,"408,000,000",cashflow,financing activities,,,,,,
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,"-1,747,000,000",income,comprehensive income,,,,,,
PaymentsOfDividends,"7,443,000,000",cashflow,financing activities,,,,,,
